difficulty,category,total,successes,failures,errors,rate,ci95_low,ci95_high,median_action_steps_success,median_action_steps_failure,failure_horizon_exhausted,median_duration_seconds,mean_duration_seconds,p90_duration_seconds,p99_duration_seconds,sum_episode_compute_hours
3,Sensor Noise,300,286,14,0,0.9533333333333334,0.923202639772079,0.9720010663176659,130.0,300.0,14,46.22654820373282,75.66643233076204,160.495197099168,433.6215018591003,6.305536027563503
4,Sensor Noise,383,321,62,0,0.8381201044386423,0.7979037115029879,0.8716212168476978,150.0,300.0,62,43.37576432200149,77.09670091689475,184.01854730127383,485.5126868186798,8.202232347547413
5,Sensor Noise,241,128,113,0,0.5311203319502075,0.46812256714833145,0.5931415670887753,191.5,520.0,113,35.45878767501563,86.91460392725001,244.1637770361267,546.8496061920189,5.818449874018681
4,Objects Layout,257,209,48,0,0.8132295719844358,0.7610965867966903,0.8561365813043726,112.0,300.0,48,9.437767560128123,11.088833823030024,17.54531835913658,23.025295314062387,0.7916195256996434
5,Objects Layout,289,201,88,0,0.6955017301038062,0.6401671964713611,0.7457071276597365,131.0,300.0,88,10.514491482172161,11.716729646745206,17.425007129926236,18.982574575338514,0.9405930188637124
3,Objects Layout,329,294,35,0,0.8936170212765957,0.8556401747255257,0.9225080791538881,120.5,300.0,35,9.565513072069734,11.077101288135461,17.622843699902294,28.311451155878597,1.0123239788323797
2,Objects Layout,302,272,30,0,0.9006622516556292,0.8617315568656556,0.9295280746216423,129.0,410.0,30,9.641160788480192,11.999431721179974,18.1225674984511,33.57904638055713,1.0066189943878756
1,Objects Layout,348,320,28,0,0.9195402298850575,0.8861712191407742,0.9437480319296614,155.5,520.0,28,12.191251266049221,13.75312125285413,21.049744647648186,32.3331144983414,1.3294683877758993
2,Light Conditions,197,193,4,0,0.9796954314720813,0.9489644580642603,0.9920763066751265,121.0,300.0,4,8.75941214710474,9.46005430676251,14.474559710640461,18.481588297244162,0.5176751940089485
4,Light Conditions,242,235,7,0,0.9710743801652892,0.9415077774414385,0.985919195591182,143.0,300.0,7,9.15374929504469,10.660129971288468,14.931586438138037,21.30870270196815,0.7165976258477248
3,Light Conditions,244,231,13,0,0.9467213114754098,0.9109919664893638,0.9686025978636346,125.0,300.0,13,8.802006528014317,9.981792095958896,14.632702904613689,18.87917671926785,0.6765436865038807
1,Light Conditions,111,104,7,0,0.9369369369369369,0.8755233588904047,0.9691193424135679,115.5,300.0,7,8.362215467263013,9.602014453855116,16.841528716031462,18.72976658847183,0.2960621123271994
5,Light Conditions,227,211,16,0,0.9295154185022027,0.8885838436302863,0.9561517640729472,170.0,520.0,16,11.846850065980107,13.196247885559607,21.425815791543574,28.10605075606145,0.8320967416727864
None,Light Conditions,121,102,19,0,0.8429752066115702,0.7677344176119717,0.8971088226389315,115.0,300.0,19,8.022365000098944,9.361645457727358,17.613813036121428,18.226026782020927,0.3146553056625028
