category,suite,total,successes,failures,errors,rate,ci95_low,ci95_high,median_action_steps_success,median_action_steps_failure,failure_horizon_exhausted,median_duration_seconds,mean_duration_seconds,p90_duration_seconds,p99_duration_seconds,sum_episode_compute_hours
Language Instructions,libero_goal,410,284,126,0,0.6926829268292682,0.6464063530258822,0.7353823649296499,93.0,300.0,126,8.446212290320545,10.751571836174897,17.60457308338955,18.085702005038037,1.22448457023103
Sensor Noise,libero_goal,379,300,79,0,0.7915567282321899,0.7478375139464382,0.829424940022808,104.5,300.0,79,29.57203850708902,60.86080484904993,150.29872768754137,344.25600348122236,6.407290288274979
Objects Layout,libero_goal,425,283,142,0,0.6658823529411765,0.6197292304926385,0.709063606813128,105.0,300.0,142,10.025592125952244,11.898831903739449,17.912670195568353,21.170703899543728,1.4047232108581293
Light Conditions,libero_goal,279,237,42,0,0.8494623655913979,0.8027721052557264,0.8866600621961438,120.0,300.0,42,8.326109718065709,9.503066834629811,17.70383126363158,18.249729969929902,0.7364876796838103
Background Textures,libero_10,289,266,23,0,0.9204152249134948,0.8834151453731015,0.9463853923601439,248.0,520.0,23,15.709924117662013,16.717782847609076,24.756118546891955,30.415691397618506,1.3420664563775062
Robot Initial States,libero_10,393,302,91,0,0.7684478371501272,0.7242657586302166,0.8074327202208469,252.0,520.0,91,16.223279402125627,18.91591958436551,28.98617905192077,31.380480294190342,2.0649878879599015
Camera Viewpoints,libero_10,419,231,188,0,0.5513126491646778,0.5034385280798829,0.5982544329649663,252.0,520.0,188,19.438774762209505,21.841082795678698,30.33304800223559,32.06244567572139,2.542059358719271
Language Instructions,libero_10,383,352,31,0,0.9190600522193212,0.8874028265498044,0.942394478471702,237.0,520.0,31,14.879230983089656,16.48218301464451,24.348749825917196,31.621273989779876,1.7535211373913464
Sensor Noise,libero_10,449,360,89,0,0.8017817371937639,0.7624149303477403,0.8360285087882167,244.0,520.0,89,54.78954341402277,109.75700599214328,282.366693498753,546.5401943492329,13.68913769179787
Objects Layout,libero_10,312,274,38,0,0.8782051282051282,0.8372446916743634,0.9099656361945285,254.0,520.0,38,16.893948721932247,18.046014050191914,28.284369285916913,33.926255157790145,1.5639878843499657
Light Conditions,libero_10,274,260,14,0,0.948905109489051,0.9160739272751729,0.9693230939042937,244.0,520.0,14,14.259905334562063,15.412066822754301,21.45594789539464,28.15680446236394,1.1730295303985219
